,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8,genre9,genre10,10,genres_together,artist_id,Artist,artist_followers,artist_popularity
134,gospel,naija worship,world worship,worship,,,,,,,,"gospel,naija worship,world worship,worship",77HU1Zb1VDIFvWKteJii0E,Israel & New Breed,211554,0.53
135,eurovision,,,,,,,,,,,eurovision,1JjIKP5IOuEDXQVZsbUiB2,Kristian Kostov,32340,0.43
136,reggaeton colombiano,,,,,,,,,,,reggaeton colombiano,4Wcscw7z9AAE6y7qWdIAin,Dylan Fuentes,38916,0.55
137,,,,,,,,,,,,,41sqYvXOn3ATsAQ65G1zx6,María Parrado,45702,0.45
138,latin,latin hip hop,reggaeton,trap latino,tropical,,,,,,,"latin,latin hip hop,reggaeton,trap latino,tropical",329e4yvIujISKGKz1BZZbO,Farruko,9207072,0.92
139,alternative hip hop,,,,,,,,,,,alternative hip hop,3twuAojvYNrlWZpMkxLm3P,Daveed Diggs,62579,0.74
140,german pop,indie cafe pop,,,,,,,,,,"german pop,indie cafe pop",21aa4pj9BvbFB2iT8kRpnq,Michael Schulte,202889,0.69
141,adult standards,motown,quiet storm,soul,,,,,,,,"adult standards,motown,quiet storm,soul",7guDJrEfX3qb6FEbdPA5qi,Stevie Wonder,4752788,0.8
142,,,,,,,,,,,,,52tiVHeB0x2XvFAyajG1BZ,Real Madrid,14387,0.35
143,emo rap,,,,,,,,,,,emo rap,7gZfnEnfiaHzxARJ2LeXrf,6ix9ine,6234864,0.8
144,spanish pop,,,,,,,,,,,spanish pop,4uyqaioPEdClDxU6zvYlAZ,Pablo López,598871,0.65
145,latin viral pop,spanish pop,,,,,,,,,,"latin viral pop,spanish pop",6rRY793jdSneQ9aSy0RtMN,Marta Soto,54028,0.52
146,electropop,indie cafe pop,pop,post-teen pop,,,,,,,,"electropop,indie cafe pop,pop,post-teen pop",4xnihxcoXWK3UqryOSnbw5,Sasha Sloan,745785,0.78
147,brostep,complextro,edm,electro,,,,,,,,"brostep,complextro,edm,electro",5he5w2lnU9x7JFhnwcekXX,Skrillex,7693238,0.8
148,dance pop,pop,pop dance,post-teen pop,tropical house,,,,,,,"dance pop,pop,pop dance,post-teen pop,tropical house",1MIVXf74SZHmTIp4V4paH4,Mabel,1154834,0.8
149,spanish pop,,,,,,,,,,,spanish pop,5soMpG6E6oApEiCZgrWeVz,Rozalén,513322,0.68
150,,,,,,,,,,,,,3jh5rw4jyQiAzStMfu4MLt,Lean Trap,4,0.0
151,cantautor,nueva cancion,rock en espanol,spanish pop,trova,,,,,,,"cantautor,nueva cancion,rock en espanol,spanish pop,trova",4aeIWo5CMF1uRmqgJdwkZW,Joaquín Sabina,1958934,0.73
152,dominican pop,latin,latin pop,pop reggaeton,pop venezolano,reggaeton,trap latino,tropical,,,,"dominican pop,latin,latin pop,pop reggaeton,pop venezolano,reggaeton,trap latino,tropical",2ayNSoKPCRAfjp6hQ76hRu,Nacho,3075967,0.72
153,francoton,french pop,variete francaise,,,,,,,,,"francoton,french pop,variete francaise",1eoyu9uAivE7Jwak40J1MW,Bilal Hassani,82344,0.49
154,israeli pop,,,,,,,,,,,israeli pop,3EOEK57CV77D4ovYVcmiyt,Dennis Lloyd,514034,0.74
155,edm,pop dance,tropical house,,,,,,,,,"edm,pop dance,tropical house",7keGfmQR4X5w0two1xKZ7d,Kungs,710035,0.68
156,electropop,pop,,,,,,,,,,"electropop,pop",6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,38901683,0.93
157,alternative metal,alternative rock,modern rock,permanent wave,post-grunge,rock,,,,,,"alternative metal,alternative rock,modern rock,permanent wave,post-grunge,rock",7jy3rLJdDQY21OgRLCZ9sD,Foo Fighters,8383350,0.81
158,rap catala,rap latina,trap catala,trap latino,urbano espanol,,,,,,,"rap catala,rap latina,trap catala,trap latino,urbano espanol",4F4pp8NUW08JuXwnoxglpN,Bad Gyal,478978,0.71
159,edm,,,,,,,,,,,edm,2X97ZAqRKRMYFIDqtvGgGc,Silk City,63208,0.67
160,italian pop,,,,,,,,,,,italian pop,3o7fC2O4nraaicpID6bBZW,Elettra Lamborghini,701369,0.59
161,dance pop,pop,pop dance,post-teen pop,,,,,,,,"dance pop,pop,pop dance,post-teen pop",0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,24874826,0.88
162,big room,dance pop,dutch house,edm,electro house,pop dance,progressive electro house,progressive house,tropical house,,,"big room,dance pop,dutch house,edm,electro house,pop dance,progressive electro house,progressive house,tropical house",4D75GcNG95ebPtNvoNVXhz,Afrojack,3568421,0.78
163,reggaeton flow,,,,,,,,,,,reggaeton flow,6NmMI7UnfmIpLRYoz8H9jm,Ankhal,10569,0.54
